id	width	height	ar	flags
6cf8d8ab-3927-4ccf-9135-b2aeb9332e06	4841	3304	1.4652	2
667df8b8-cf64-467d-a7ea-a5980ed31464	3962	4038	0.9812	1
c35270a0-a016-49cb-b1e8-aa5ed7cc82f6	4466	3581	1.2471	2
6c8dcf19-3fc8-4993-be63-8144248435e6	4775	3350	1.4254	2
525a5ba7-0f53-43ce-b4af-bfcf222b1484	875	1200	0.7292	1
3a3280a7-650a-4e1a-aa35-4e3b8cbc24fd	3061	5158	0.5934	1
d692a51b-1b84-4984-816d-5f7745d8f563	2981	4853	0.6143	1
c66e254e-09d3-44f9-bd77-717f82f3bf21	3138	5097	0.6157	1
43aba138-ec45-47d6-9a1a-6e88f165e3da	3140	5096	0.6162	1
da7463b7-a5c2-411d-85ee-10320ca47804	2843	3906	0.7279	1
7748d174-8142-42bc-bd8d-ef0214852355	3533	2560	1.3801	2
689991e1-d672-473f-b826-fcae61907fee	3876	2726	1.4219	2
c2206afd-c231-4c7a-83ea-c551489db421	3965	2751	1.4413	2
db495c63-2526-4c2c-8386-5e81f40f15eb	3996	2889	1.3832	2
3bbf5731-d138-4530-ae17-7d54bfd0c431	2690	3943	0.6822	1
dced415a-6114-424a-96c6-be50c8ab34f5	2457	3724	0.6598	1
5dca7060-e221-4324-8b47-4467209e8454	2750	3944	0.6973	1
742beccb-8c17-426f-b964-d2ffaf77cdca	2603	3823	0.6809	1
64bfd647-6d88-4778-8827-9c0f8acc25b9	4738	2874	1.6486	2
b6d21dc7-ec46-4623-a58a-e6eaccc660f6	2048	1515	1.3518	2
405c1443-8699-4fcb-9571-4d3cee4ce5c7	2764	4053	0.682	1
20cb8216-bdf5-445c-9cd5-8d9a8da2d3f2	2783	3960	0.7028	1
dc2d00fc-3c6f-4d13-ba0f-ae0b89bfbaa7	3101	5139	0.6034	1
a8da4bd2-eb1f-41b1-ac05-49b9c4e1d079	841	1200	0.7008	1
7bbede06-c3bb-4ac4-a888-a461dc86b052	3906	2606	1.4988	2
1fd275f0-759a-43f8-a9d2-b8568bc03845	1745	1704	1.0241	2
cdcafeb0-3f36-42da-89a3-052047fd2ea7	1720	1720	1.0	4
f52d1260-6284-4b8e-bc47-86f4748e5fea	1711	1711	1.0	4
5bec80c8-208e-4a1f-8599-301b95629af6	3140	5096	0.6162	1
14daa390-7902-4c61-801a-a67fa99f433b	4843	3303	1.4662	2
772398bb-d333-4758-8633-f9410fc1b555	3141	5092	0.6168	1
4b64b1d7-2cf1-42c2-888d-44019fa03be3	3120	5127	0.6085	1
d58ffc81-1cd1-49ea-9e2f-8ea8735beeb3	3147	5083	0.6191	1
1ed9a0ee-7cc5-4195-8ea6-2b8b37b5e191	3956	2661	1.4867	2
3f6d9fcc-da36-4862-b433-792eac24aab0	4113	3293	1.249	2
c1b208aa-f224-47c5-b9e4-865ee982b275	3982	2580	1.5434	2
7bf5b8a9-c852-4ebb-889d-42aa0dbeb063	3413	4687	0.7282	1
b201aff5-cbc8-4d77-b9c3-8131657aeaa5	3941	2581	1.5269	2
a31eea74-795c-4838-9559-d146a15ed1bb	3196	5006	0.6384	1
30a4f72c-8e7f-49d6-847c-52e070545d80	3160	5063	0.6241	1
17bed4af-d254-49a9-bf1a-b49eb722a231	2774	3950	0.7023	1
12567b3e-4580-478e-9745-c75891193bb7	4836	3308	1.4619	2
5cd9762b-8d4c-4418-9cd6-99489837fa7a	2464	3642	0.6766	1
04727cf5-fce1-43b8-914e-2680c49bb1cc	2658	3871	0.6866	1
516a3e5e-ed31-4391-a006-e6edaca36f77	2825	5247	0.5384	1
396c7892-ee05-4039-ba24-e26b2a76b5db	2745	4924	0.5575	1
3893f0e4-63e1-498d-ac3f-ef304091e1e7	4545	3520	1.2912	2
